"zone","avg3yr_1995","avg3yr_1996","avg3yr_1997","avg3yr_1998","avg3yr_1999","avg3yr_2000","avg3yr_2001","avg3yr_2002","avg3yr_2003","avg3yr_2004","avg3yr_2005","avg3yr_2006","avg3yr_2007","avg3yr_2008","avg3yr_2009","avg3yr_2010","avg3yr_2011","avg3yr_2012","avg3yr_2013","avg3yr_2014","avg3yr_2015","Reference_avg1979to2000monthlypixels","pctdevR_1995","pctdevR_1996","pctdevR_1997","pctdevR_1998","pctdevR_1999","pctdevR_2000","pctdevR_2001","pctdevR_2002","pctdevR_2003","pctdevR_2004","pctdevR_2005","pctdevR_2006","pctdevR_2007","pctdevR_2008","pctdevR_2009","pctdevR_2010","pctdevR_2011","pctdevR_2012","pctdevR_2013","pctdevR_2014","pctdevR_2015","Trend_1997to2006_pctdevRperyr","Trend_1998to2007_pctdevRperyr","Trend_1999to2008_pctdevRperyr","Trend_2000to2009_pctdevRperyr","Trend_2001to2010_pctdevRperyr","Trend_2002to2011_pctdevRperyr","Trend_2003to2012_pctdevRperyr","Trend_2004to2013_pctdevRperyr","Trend_2005to2014_pctdevRperyr","Trend_2006to2015_pctdevRperyr","pole"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
1,1032.66666666667,963.666666666667,1109,1043.66666666667,1039,1048.66666666667,1083.66666666667,1081.66666666667,1064,1002,1001.33333333333,978,1062.66666666667,1105,1127.33333333333,1047.33333333333,960.666666666667,880.333333333333,897.666666666667,910.333333333333,994.333333333333,917.681818181818,1.12529925537009,1.05010979576337,1.20847986527317,1.13728598081464,1.13220070335331,1.14273449238034,1.18087407334027,1.17869466871399,1.15944326118183,1.0918817177671,1.09115524955834,1.06572886225172,1.15799032476431,1.20412105602061,1.22845774101408,1.14128155596282,1.04684068882395,0.959301269668301,0.978189443096075,0.991992339062526,1.08352733336635,-0.00883314661493197,-0.00438624507612079,-0.000812747299754013,0.00291086324144154,0.00199286000577903,-0.00102722136620447,-0.00696058327637252,-0.0114699893143005,-0.0169834160513266,-0.0172502117287376,"n"
2,2053.33333333333,2084.33333333333,1926,2087.33333333333,2123.66666666667,2222.66666666667,2037.66666666667,1977.33333333333,1977.33333333333,1788.66666666667,1741.33333333333,1867.33333333333,2133.66666666667,2199,2086,2030,2201.33333333333,2252.66666666667,2237.33333333333,2025,2064,1929.36363636364,1.06425418963703,1.08032166360395,0.998256608396551,1.08187658043946,1.10070835100284,1.15202060657463,1.05613406838493,1.02486296313748,1.02486296313748,0.927075971037711,0.90254283874413,0.967849345835493,1.1058914071212,1.13975404042784,1.08118550629035,1.05216039202752,1.14096342018879,1.16756977492971,1.15962242221489,1.04956886396834,1.06978278282995,-0.0170594837261502,-0.013155831712204,-0.00483250334137169,0.000828016214937739,0.00880686465505689,0.0168904145977643,0.0230838390649566,0.0300319633156008,0.0198002227481553,0.00607683403113683,"n"
3,871.333333333333,757,859.333333333333,873,1043.66666666667,974.333333333333,803,721,819.666666666667,832.666666666667,826,749,915,1157.66666666667,1200.33333333333,1123,941.333333333333,1030.66666666667,932.333333333333,842.333333333333,943.333333333333,794.272727272727,1.09702033497387,0.95307313723246,1.08191217427797,1.09911869062607,1.31399030941208,1.22669871428026,1.01098775323338,0.907748655144787,1.03197130975545,1.04833848384266,1.03994506123383,0.943001030101866,1.15199725306169,1.45751783602304,1.51123574071955,1.41387203845714,1.18515127236656,1.29762313532486,1.17382015184465,1.06050894662546,1.18766929914921,-0.0206149940052188,-0.0155414395964233,0.00388296894205519,0.0327683264392087,0.0610991609746273,0.0597290519620613,0.0424513537160934,0.0288085013465317,0.00940885856140027,-0.00466885139781975,"n"
4,8195.66666666667,7483.66666666667,7698.66666666667,6847.66666666667,7575,7468,7663,7618.33333333333,7908,8006,8586.33333333333,8936.66666666667,9352.33333333333,9040,8905.33333333333,9017.66666666667,9127.66666666667,9465.33333333333,9236,9289.33333333333,8635.66666666667,7228.31818181818,1.13382760145807,1.03532612682861,1.06507025189228,0.947338854547246,1.04796161561535,1.03315872546739,1.0601359551763,1.05395655555066,1.09403042327211,1.10758821051043,1.18787429072105,1.23634107435193,1.29384638280836,1.25063670035152,1.23200627162947,1.24754700053871,1.26276492498989,1.30947934156275,1.27775227482817,1.28513066244086,1.19469929926279,0.0210528387442136,0.0345032371123994,0.0285993932726603,0.0283320619153492,0.0247156413409837,0.0219764921143174,0.0181005809230387,0.0128989116748297,0.00660857576110497,-0.000257705740734229,"n"
5,2072,2023,2004.33333333333,2025.66666666667,1966,1904.33333333333,1872,1842,1882.33333333333,1857,1865,1844,1731.66666666667,1602,1599,1595.66666666667,1641,1509.33333333333,1539.66666666667,1602.33333333333,1589.33333333333,1996.36363636364,1.03788706739526,1.01334244080146,1.00399210686096,1.01467820279296,0.984790528233151,0.953901032179721,0.937704918032787,0.922677595628415,0.942880995749848,0.930191256830601,0.9341985428051,0.92367941712204,0.867410443230115,0.802459016393443,0.800956284153005,0.799286581663631,0.821994535519126,0.756041287188828,0.771235579842137,0.80262598664238,0.796114146933819,-0.00970221086635519,-0.0110740447090622,-0.0141218903172106,-0.0168568230882242,-0.0193818527151859,-0.0197644194386864,-0.0227967652440812,-0.0221003791278426,-0.0178481869634688,-0.0122680163894915,"n"
6,64.6666666666667,85,90.6666666666667,90.3333333333333,55.6666666666667,41.6666666666667,30.3333333333333,31.3333333333333,52.6666666666667,60.3333333333333,56,36,27.6666666666667,29.6666666666667,29,27.6666666666667,28.6666666666667,29,29,25.6666666666667,27,88.0454545454545,0.734469110308037,0.965410428497677,1.02977112373086,1.02598520048184,0.632249182584753,0.473240406126312,0.344519015659955,0.355876785406987,0.598175873343659,0.6852521080709,0.636035105833764,0.408879710893134,0.314231629667871,0.336947169161934,0.329375322663913,0.314231629667871,0.325589399414903,0.329375322663913,0.329375322663913,0.291516090173808,0.30665978316985,-0.0451203208556149,-0.0347981661634787,-0.024169842133914,-0.027830303030301,-0.0546120546120535,-0.0856866537717587,-0.0685078634445689,-0.0510631173614598,-0.0345959595959587,-0.0163860830527502,"n"
7,78.6666666666667,232,448,535.333333333333,313.666666666667,110.333333333333,111.333333333333,127,161.666666666667,129,111.666666666667,64.3333333333333,3.33333333333333,0,3.33333333333333,5,5,4,17.3333333333333,17.3333333333333,15,360.5,0.218215441516412,0.643550624133148,1.24271844660194,1.48497457235321,0.870087840961627,0.306056403143782,0.308830328247804,0.352288488210818,0.448451225150254,0.357836338418863,0.309754969949145,0.178455848358761,0.0092464170134073,0,0.0092464170134073,0.013869625520111,0.013869625520111,0.0110957004160888,0.048081368469718,0.048081368469718,0.0416088765603329,-0.0970283189033184,-0.0728970904562434,-0.0750780922938202,-0.146663004669036,-0.166321901651241,-0.153614889047959,-0.112714776632299,-0.096171012450082,-0.0628493894165519,-0.0242424242424301,"n"
8,1728,1534.66666666667,1529.33333333333,1413,1457,1412,1361,1285,1224,1138.33333333333,1110.33333333333,1154,1237.33333333333,1383.66666666667,1305.66666666667,1245.66666666667,1168,1210,1146.33333333333,1080.66666666667,1070,1577.31818181818,1.09553038817325,0.972959472829794,0.969578206199629,0.895824327829169,0.923719777528025,0.895190340336013,0.862856978185067,0.814673928705225,0.77600069162272,0.721689096375705,0.703937446567342,0.731621567101813,0.784453858198131,0.877227361363265,0.827776336897112,0.789737087307763,0.740497392005994,0.767124866718538,0.726760996320951,0.685129150937053,0.678366617676724,-0.0306332725687562,-0.0254748475555279,-0.0146724624418516,-0.00547114201505194,0.00109396685443695,0.00395550839130595,0.00673235624215951,0.00418829584276148,-0.00635535784139909,-0.0178772123312831,"n"
9,2867.33333333333,2995.66666666667,2984.66666666667,3170,2927.33333333333,3006.66666666667,2798,2781,2659.33333333333,2637.66666666667,2646.66666666667,2597.33333333333,2626,2626.33333333333,2548,2462,2470.33333333333,2602,2674,2688.66666666667,2602,3056.36363636364,0.938151893714059,0.98014078921277,0.976541741027166,1.03718024985128,0.957783065635534,0.983739837398374,0.915466983938132,0.909904818560381,0.870097164386278,0.863008130081301,0.865952805869522,0.84981162006742,0.859190957763236,0.859300019829467,0.833670434265318,0.80553242117787,0.808258972833631,0.851338488994646,0.874895895300416,0.879694626214555,0.851338488994646,-0.01960863944335,-0.0183704553420645,-0.0140818340545053,-0.012662097695357,-0.0106230279925776,-0.0101511337757292,-0.00628622651686047,-0.00273657847270887,0.000551102969239144,0.00207516644888287,"n"
