"rgn_id","habitat","health"
1,"seaice_edge",0.991992339062526
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.80262598664238
6,"seaice_edge",0.291516090173808
7,"seaice_edge",0.048081368469718
8,"seaice_edge",0.685129150937053
9,"seaice_edge",0.879694626214555
1,"seaice_shoreline",0.87557212573126
2,"seaice_shoreline",0.973705699820349
3,"seaice_shoreline",0.946108958956505
4,"seaice_shoreline",0.874968966725369
5,"seaice_shoreline",0.558570119156737
6,"seaice_shoreline",0.292929292929293
8,"seaice_shoreline",0.817736899839676
9,"seaice_shoreline",0.936838511437351
1,"soft_bottom",1
2,"soft_bottom",1
3,"soft_bottom",1
4,"soft_bottom",1
5,"soft_bottom",0.996290854426433
6,"soft_bottom",0.492783965087108
7,"soft_bottom",0.618273018851263
8,"soft_bottom",0.959556834877288
9,"soft_bottom",1
