"rgn_id","habitat","health"
1,"seaice_edge",1
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.745165802682465
6,"seaice_edge",0.272941176470588
7,"seaice_edge",0.00884629561371176
8,"seaice_edge",0.733518565294266
9,"seaice_edge",0.836790480784692
1,"seaice_shoreline",0.835214446952596
2,"seaice_shoreline",0.945493694952526
3,"seaice_shoreline",0.890154886950329
4,"seaice_shoreline",0.844289266785562
5,"seaice_shoreline",0.608153477218225
6,"seaice_shoreline",0.41958041958042
8,"seaice_shoreline",0.777811275248719
9,"seaice_shoreline",0.95169905671099
1,"soft_bottom",1
2,"soft_bottom",1
3,"soft_bottom",1
4,"soft_bottom",1
5,"soft_bottom",1
6,"soft_bottom",0.583950346767712
7,"soft_bottom",0.609959307725035
8,"soft_bottom",0.953784084047812
9,"soft_bottom",1
