"rgn_id","habitat","health"
1,"seaice_edge",1
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.791080391672838
6,"seaice_edge",0.24156862745098
7,"seaice_edge",0.0383339476594176
8,"seaice_edge",0.655114928012124
9,"seaice_edge",0.864662057136731
1,"seaice_shoreline",0.846823605288617
2,"seaice_shoreline",0.968400316111372
3,"seaice_shoreline",0.936799003026527
4,"seaice_shoreline",0.861118786265103
5,"seaice_shoreline",0.531414868105516
6,"seaice_shoreline",0.27039627039627
8,"seaice_shoreline",0.796804341272234
9,"seaice_shoreline",0.935560859188544
